window_10min,SVM_Z_CURRENT_mean,SVM_Z_CURRENT_std,SVM_Z_CURRENT_min,SVM_Z_CURRENT_max,SVM_Z_CURRENT_median,SVM_Z_CURRENT_range,SVM_Z_CURRENT_cv,SVM_Z_CURRENT_skew,SVM_Z_CURRENT_kurt,SVM_Z_CURRENT_q25,SVM_Z_CURRENT_q75,SVM_Z_CURRENT_iqr,SVM_Z_EFFECTIVE_LOAD_RATIO_mean,SVM_Z_EFFECTIVE_LOAD_RATIO_std,SVM_Z_EFFECTIVE_LOAD_RATIO_min,SVM_Z_EFFECTIVE_LOAD_RATIO_max,SVM_Z_EFFECTIVE_LOAD_RATIO_median,SVM_Z_EFFECTIVE_LOAD_RATIO_range,SVM_Z_EFFECTIVE_LOAD_RATIO_cv,SVM_Z_EFFECTIVE_LOAD_RATIO_skew,SVM_Z_EFFECTIVE_LOAD_RATIO_kurt,SVM_Z_EFFECTIVE_LOAD_RATIO_q25,SVM_Z_EFFECTIVE_LOAD_RATIO_q75,SVM_Z_EFFECTIVE_LOAD_RATIO_iqr,SVM_Z_PEAK_LOAD_RATIO_mean,SVM_Z_PEAK_LOAD_RATIO_std,SVM_Z_PEAK_LOAD_RATIO_min,SVM_Z_PEAK_LOAD_RATIO_max,SVM_Z_PEAK_LOAD_RATIO_median,SVM_Z_PEAK_LOAD_RATIO_range,SVM_Z_PEAK_LOAD_RATIO_cv,SVM_Z_PEAK_LOAD_RATIO_skew,SVM_Z_PEAK_LOAD_RATIO_kurt,SVM_Z_PEAK_LOAD_RATIO_q25,SVM_Z_PEAK_LOAD_RATIO_q75,SVM_Z_PEAK_LOAD_RATIO_iqr,SVM_Z_POSITION_mean,SVM_Z_POSITION_std,SVM_Z_POSITION_min,SVM_Z_POSITION_max,SVM_Z_POSITION_median,SVM_Z_POSITION_range,SVM_Z_POSITION_cv,SVM_Z_POSITION_skew,SVM_Z_POSITION_kurt,SVM_Z_POSITION_q25,SVM_Z_POSITION_q75,SVM_Z_POSITION_iqr,n_samples,n_runs,SVM_Z_CURRENT_mean_diff,SVM_Z_CURRENT_mean_pct_change,SVM_Z_CURRENT_mean_ma3,SVM_Z_CURRENT_mean_ma_dev,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_diff,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_pct_change,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_ma3,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_ma_dev,SVM_Z_PEAK_LOAD_RATIO_mean_diff,SVM_Z_PEAK_LOAD_RATIO_mean_pct_change,SVM_Z_PEAK_LOAD_RATIO_mean_ma3,SVM_Z_PEAK_LOAD_RATIO_mean_ma_dev,SVM_Z_POSITION_mean_diff,SVM_Z_POSITION_mean_pct_change,SVM_Z_POSITION_mean_ma3,SVM_Z_POSITION_mean_ma_dev,anomaly_ensemble,anomaly_if,anomaly_score
28,12.519295302013422,29.913364206622234,-78.3,105.0,2.5,183.3,2.3893808305497357,0.934601602270489,1.9054792164304803,2.4,9.625,7.225,30.934563758389263,13.216264997405368,2.0,44.0,37.0,42.0,0.4272329521317784,-1.2269594950071905,0.023816717415239275,25.0,40.0,15.0,83.48489932885906,41.23184834330101,2.0,107.0,105.0,105.0,0.49388390804524795,-1.4269458667300163,0.10744497736635727,99.25,106.0,6.75,1.4312080536912752,0.6713582497430521,1.0,3.0,1.0,2.0,0.46908501388846313,1.2690279902423147,0.29356731139341585,1.0,2.0,1.0,600.0,2.0,0.34345637583892596,0.02820802557601154,13.005816554809842,-0.48652125279642,2.8389261744966454,0.10104508808599588,30.78131991051454,0.15324384787472312,3.9630872483221395,0.04983648064141777,83.90436241610739,-0.4194630872483316,0.06040268456375841,0.044063647490820035,1.4110738255033557,0.020134228187919545,0,0,-0.12897941615973846
29,8.494147157190636,32.95655964005181,-76.6,104.5,2.5,181.1,3.8799139019098297,0.188102111927725,1.5454635093774138,2.3,9.4,7.1000000000000005,33.17391304347826,11.328054222510493,2.0,45.0,38.0,43.0,0.3414747668646676,-1.4637355580751696,1.0623323424721898,30.0,41.0,11.0,88.32775919732441,38.00030325183865,2.0,108.0,106.0,106.0,0.4302192605944626,-1.777364080713522,1.2538453870155024,105.0,107.0,2.0,1.4531772575250836,0.6947867166206233,1.0,3.0,1.0,2.0,0.4781156001601067,1.2173342263580438,0.09030064984149044,1.0,2.0,1.0,600.0,2.0,-4.025148144822786,-0.3215155524109604,11.063093795126186,-2.56894663793555,2.239349285088995,0.07238987763264304,30.734704795253382,2.439208248224876,4.842859868465354,0.058008812460665915,83.7781568689068,4.549602328417606,0.021969203833808404,0.015350111940152233,1.4183968934479587,0.034780364077124926,0,0,-0.1465062378202035
30,5.630704697986578,22.01619831874089,-75.6,104.7,2.4,180.3,3.9100253875173783,1.204316218634182,7.0502974983909645,2.4,2.525,0.125,16.07046979865772,16.926585933836655,2.0,44.0,2.0,42.0,1.0532726264947427,0.5144440764474886,-1.5837252083532678,2.0,37.0,35.0,41.72986577181208,50.49109262303269,2.0,108.0,2.0,106.0,1.2099509952686858,0.49011521375537465,-1.7490999739926927,2.0,106.0,104.0,1.1711409395973154,0.4648007147933327,1.0,3.0,1.0,2.0,0.3968785473020434,2.764212666565806,6.880834724247002,1.0,1.0,0.0,600.0,2.0,-2.863442459204058,-0.33710770560173775,8.88138238573021,-3.250677687743633,-17.10344324482054,-0.5155690624257829,26.726315533508416,-10.655845734850697,-46.59789342551233,-0.5275566124281783,71.18084143266519,-29.45097566085311,-0.2820363179277683,-0.19408252948309024,1.3518420836045582,-0.1807011440072428,1,0,-0.03573058709232668
31,6.643791946308725,22.470676579335823,-75.7,82.5,2.6,158.2,3.382206541223868,1.1153586248314624,5.938627540549911,2.4,2.6,0.20000000000000018,16.951342281879196,16.059322218824317,2.0,44.0,8.0,42.0,0.9473776148093924,0.40462695994121567,-1.5901544094642786,2.0,35.0,33.0,48.899328859060404,51.3184481994461,2.0,107.0,2.0,105.0,1.049471422140745,0.19110098799385047,-1.946340660803358,2.0,106.0,104.0,1.162751677852349,0.447613817737023,1.0,3.0,1.0,2.0,0.3849608014015378,2.8175868452516286,7.309751763353592,1.0,1.0,0.0,600.0,2.0,1.0130872483221474,0.17992192854375877,6.922881267161979,-0.2790893208532541,0.8808724832214772,0.054813113384840406,22.06524170800506,-5.113899426125865,7.1694630872483245,0.17180652165172305,59.6523179427323,-10.752989083671899,-0.008389261744966348,-0.007163323782234832,1.2623566249915827,-0.09960494713923373,1,0,-0.009499715739582637
32,13.02214765100671,34.89349190844501,-79.0,107.0,2.55,186.0,2.6795497059002766,0.40120621813490925,1.130250943733663,2.4,12.8,10.4,34.196308724832214,13.423172731642856,2.0,44.0,39.0,42.0,0.3925327976085149,-1.8765049036968935,1.795103066924387,37.0,42.0,5.0,89.44630872483222,37.45951948166134,2.0,108.0,106.0,106.0,0.41879335229919634,-1.86253399654512,1.5453863825306753,105.0,107.0,2.0,1.50503355704698,0.7135953462570808,1.0,3.0,1.0,2.0,0.47413915983190646,1.0516022799706706,-0.288585390418711,1.0,2.0,1.0,600.0,2.0,6.378355704697985,0.9600474783443189,8.432214765100671,4.589932885906039,17.244966442953018,1.0173215876472335,22.40604026845638,11.790268456375834,40.54697986577182,0.8291929728245953,60.025167785234906,29.421140939597315,0.34228187919463093,0.2943722943722944,1.279642058165548,0.22539149888143184,0,0,-0.08903528194608318
33,8.827684563758389,28.23402539950683,-75.0,105.4,2.5,180.4,3.1983500538091483,0.8983761968127716,3.4565569795004016,2.4,7.825,5.425000000000001,28.585570469798657,16.37422836239721,2.0,44.0,38.0,42.0,0.5728144687438362,-0.791544585227868,-1.184975626975994,8.0,41.0,33.0,77.00838926174497,46.30993428558948,2.0,108.0,106.0,106.0,0.6013621987104022,-0.9831423398250554,-1.006592837778596,2.0,107.0,105.0,1.3825503355704698,0.6594860788662447,1.0,3.0,1.0,2.0,0.47700692112170123,1.4757770413715179,0.8175759282032189,1.0,2.0,1.0,600.0,2.0,-4.194463087248321,-0.32210225222903666,9.497874720357942,-0.6701901565995527,-5.6107382550335565,-0.16407438300377797,26.577740492170026,2.0078299776286315,-12.437919463087255,-0.139054586381542,71.78467561521254,5.223713646532431,-0.12248322147651014,-0.08138238573021184,1.3501118568232664,0.0324384787472034,0,0,-0.10740220401542344
34,9.383892617449662,29.72196328408873,-76.7,106.8,2.5,183.5,3.16733838458677,0.4641674346229668,2.668188761871355,2.4,8.625,6.225,30.763422818791945,15.870888873745306,2.0,44.0,38.0,42.0,0.5159012690892939,-1.140704625056506,-0.5226919937467156,27.75,42.0,14.25,79.28355704697987,45.03867766128811,2.0,108.0,106.0,106.0,0.5680708502344342,-1.0999126922985583,-0.7474830537054609,25.5,107.0,81.5,1.4261744966442953,0.6881367826854049,1.0,3.0,1.0,2.0,0.48250532056529566,1.3196361053666419,0.3297887425052739,1.0,2.0,1.0,600.0,2.0,0.5562080536912735,0.06300724155626924,10.411241610738253,-1.0273489932885909,2.1778523489932873,0.07618712214591761,31.18176733780761,-0.4183445190156654,2.275167785234899,0.029544414667625363,81.91275167785236,-2.6291946308724903,0.043624161073825496,0.031553398058252524,1.4379194630872483,-0.011744966442952975,0,0,-0.1367189479862993
35,11.16711409395973,32.64009534702053,-75.6,106.0,2.7,181.6,2.9228764990119953,0.4044751016407064,1.27186834823386,2.5,9.55,7.050000000000001,31.404362416107382,15.20855291530649,3.0,44.0,38.0,41.0,0.48428153750722164,-1.2097364098374528,-0.35538887262720387,31.75,42.0,10.25,82.95134228187919,43.02349541656415,2.0,108.0,107.0,106.0,0.5186594241038903,-1.3138302975506766,-0.2323198342880426,88.75,107.0,18.25,1.424496644295302,0.6605349868828171,1.0,3.0,1.0,2.0,0.46369711682233095,1.2771018744792408,0.35556493121756727,1.0,2.0,1.0,600.0,2.0,1.783221476510068,0.19003003862108447,9.792897091722594,1.3742170022371365,0.6409395973154375,0.0208344695936733,30.251118568232666,1.153243847874716,3.667785234899327,0.046261613019279224,79.74776286353467,3.2035794183445176,-0.001677852348993314,-0.0011764705882353343,1.4110738255033557,0.01342281879194629,0,0,-0.14330712256875222
36,15.788758389261742,32.634936033097766,-76.0,106.3,2.6,182.3,2.0669729201311644,1.042262693301452,1.3088816934617613,2.5,13.15,10.65,35.13758389261745,11.358239753019296,2.0,45.0,40.0,43.0,0.3232504485149222,-1.8644307157594713,2.161532012012116,37.0,41.0,4.0,91.78859060402685,35.13439652515375,2.0,108.0,107.0,106.0,0.3827752043467194,-2.086338411051624,2.510645677459987,106.0,107.0,1.0,1.5201342281879195,0.7226915020688957,1.0,3.0,1.0,2.0,0.4754129527958739,1.0126141294837987,-0.38819879407993696,1.0,2.0,1.0,600.0,2.0,4.621644295302012,0.4138620109381572,12.113255033557046,3.6755033557046968,3.7332214765100673,0.11887588822995143,32.435123042505595,2.702460850111855,8.837248322147659,0.1065353263617792,84.6744966442953,7.114093959731548,0.09563758389261756,0.06713780918727918,1.4569351230425056,0.06319910514541394,0,0,-0.16382346458137642
37,17.733389261744968,34.877558351479045,-77.2,105.2,2.7,182.4,1.9667734033627755,0.3535120693556668,0.2747894192006868,2.4,41.775,39.375,37.97986577181208,7.090739420411033,3.0,44.0,40.0,41.0,0.18669732702619615,-3.2446300331271303,11.593582426507934,37.0,42.0,5.0,101.3758389261745,21.15909372336584,2.0,108.0,107.0,106.0,0.20871929591403576,-4.223815433433863,16.53917767455193,106.0,107.0,1.0,1.488255033557047,0.6571107950973294,1.0,3.0,1.0,2.0,0.44153104157610856,1.0036855060481762,-0.1558248281278627,1.0,2.0,1.0,600.0,2.0,1.9446308724832253,0.1231655349039864,14.896420581655482,2.8369686800894858,2.84228187919463,0.08089007735650844,34.84060402684563,3.139261744966447,9.587248322147644,0.10444923774357462,92.03859060402685,9.337248322147644,-0.03187919463087252,-0.020971302428256067,1.477628635346756,0.010626398210290988,0,0,-0.15215401708798287
38,13.839093959731544,38.44428029734817,-77.5,104.4,2.5,181.9,2.777947776726702,0.09347303767778278,0.18973965675582827,2.4,23.0,20.6,35.763422818791945,11.04472516538583,2.0,45.0,39.0,43.0,0.3088274078615977,-2.204210317948753,3.6196277199990465,37.0,42.0,5.0,93.85906040268456,33.15631835989786,2.0,108.0,106.0,106.0,0.35325644873970546,-2.355178438353917,3.660416100646124,106.0,107.0,1.0,1.4681208053691275,0.6790926909196761,1.0,3.0,1.0,2.0,0.46255913575785934,1.1306723864880466,-0.012409989377244912,1.0,2.0,1.0,600.0,2.0,-3.8942953020134237,-0.21960242593976786,15.787080536912752,-1.947986577181208,-2.2164429530201346,-0.058358367202685946,36.29362416107383,-0.5302013422818845,-7.516778523489933,-0.07414763323402851,95.6744966442953,-1.8154362416107404,-0.020134228187919545,-0.013528748590755368,1.4921700223713648,-0.024049217002237278,0,0,-0.1531554892970019
39,14.63221476510067,41.10417675880816,-76.8,103.3,2.6,180.1,2.809156195331812,-0.11852557450557391,-0.04602355368406874,2.4,45.7,43.300000000000004,40.11409395973154,2.525913300420417,30.0,45.0,40.5,15.0,0.06296822515687504,-0.33652997306070886,-0.741512473095618,38.0,42.0,4.0,105.05704697986577,10.647448931270233,2.0,109.0,107.0,107.0,0.10134921204582137,-7.051100237981344,54.17397762604546,106.0,107.0,1.0,1.4848993288590604,0.6821420709605431,1.0,3.0,1.0,2.0,0.45938607264687426,1.0720310507159305,-0.1302397104166073,1.0,2.0,1.0,600.0,2.0,0.7931208053691261,0.05731016840241976,15.401565995525727,-0.7693512304250572,4.350671140939596,0.12165141918836508,37.952460850111855,2.161633109619686,11.197986577181211,0.11930639971397938,100.09731543624162,4.959731543624159,0.016778523489932917,0.011428571428571344,1.4804250559284116,0.004474272930648837,0,0,-0.12762502012441262
